gene_chrom	gene_start	gene_end	region_chrom	region_start	region_end	gene_id	gene_strand	region_id	target	subset	gene_expr_change	distance_to_tss	ABC_score
chr11	494511	507300	chr11	503416	503684	ENSG00000023191	-	chr11:503416-503684	positive	train	-0.420485353534099	3615	0.069520175
chr11	494511	507300	chr11	518540	519179	ENSG00000023191	-	chr11:518540-519179	positive	valid	-0.0440564576311697	11241	0.023899212
chr11	494511	507300	chr11	537249	537635	ENSG00000023191	-	chr11:537249-537635	negative	train	-0.0039029206662051	29950	0.0028434373
chr11	494511	507300	chr11	551677	551880	ENSG00000023191	-	chr11:551677-551880	negative	train	-0.0142881392844709	44378	0.0012988888
chr11	494511	507300	chr11	459782	461114	ENSG00000023191	-	chr11:459782-461114	negative	train	-0.0113108436999405	46185	0.019952761
chr11	494511	507300	chr11	559791	560075	ENSG00000023191	-	chr11:559791-560075	negative	test	0.0028142339069294	52492	0.0024064349
chr11	494511	507300	chr11	444368	444852	ENSG00000023191	-	chr11:444368-444852	negative	test	-0.0007253364705832	62447	0.0053744707
chr11	494511	507300	chr11	440245	440506	ENSG00000023191	-	chr11:440245-440506	negative	train	0.0062978255731278	66793	0.0020462445
chr11	494511	507300	chr11	587844	588335	ENSG00000023191	-	chr11:587844-588335	negative	train	-0.0161185047867811	80545	0.0019685458
chr11	494511	507300	chr11	422095	422753	ENSG00000023191	-	chr11:422095-422753	negative	train	-0.0171798912751056	84546	0.0026770575
chr11	494511	507300	chr11	407322	407640	ENSG00000023191	-	chr11:407322-407640	negative	train	-0.0199470325843341	99659	0.004829635
chr11	494511	507300	chr11	613335	613898	ENSG00000023191	-	chr11:613335-613898	negative	valid	0.0306537801044835	106036	0.0011081791
chr11	494511	507300	chr11	393214	393560	ENSG00000023191	-	chr11:393214-393560	negative	train	-0.0065325886743616	113739	0.0037245611
chr11	494511	507300	chr11	628527	628920	ENSG00000023191	-	chr11:628527-628920	negative	test	0.0043288353579293	121228	0.0010714443
chr11	494511	507300	chr11	356034	356520	ENSG00000023191	-	chr11:356034-356520	negative	train	-0.0011713411708438	150779	0.0027725016
chr11	494511	507300	chr11	355350	355535	ENSG00000023191	-	chr11:355350-355535	negative	train	-0.0029807163776025	151764	0.011692529
chr11	494511	507300	chr11	353334	354301	ENSG00000023191	-	chr11:353334-354301	negative	train	0.0159823301938311	152998	0.009163252600000001
